# project		runtime (ms)
Seaside-Core	593
Seaside-Core	595
Seaside-Core	595
Seaside-Core	595
Seaside-Core	596
Seaside-Core	596
Seaside-Core	597
Seaside-Core	598
Seaside-Core	599
Seaside-Core	599
Seaside-Core	599
Seaside-Core	600
Seaside-Core	602
Seaside-Core	604
Seaside-Core	604
Seaside-Core	606
Seaside-Core	606
Seaside-Core	607
Seaside-Core	608
Seaside-Core	608
Seaside-Core	609
Seaside-Core	609
Seaside-Core	610
Seaside-Core	610
Seaside-Core	611
Seaside-Core	611
Seaside-Core	612
Seaside-Core	616
Seaside-Core	616
Seaside-Core	618
Seaside-Core	622
Seaside-Core	622
Seaside-Core	624
Seaside-Core	624
Seaside-Core	625
Seaside-Core	626
Seaside-Core	627
Seaside-Core	628
Seaside-Core	628
Seaside-Core	630
Seaside-Core	631
Seaside-Core	631
Seaside-Core	632
Seaside-Core	633
Seaside-Core	634
Seaside-Core	635
Seaside-Core	635
Seaside-Core	635
Seaside-Core	635
Seaside-Core	635
Seaside-Core	635
Seaside-Core	636
Seaside-Core	637
Seaside-Core	640
Seaside-Core	640
Seaside-Core	641
Seaside-Core	641
Seaside-Core	641
Seaside-Core	642
Seaside-Core	643
Seaside-Core	644
Seaside-Core	645
Seaside-Core	647
Seaside-Core	647
Seaside-Core	648
Seaside-Core	648
Seaside-Core	649
Seaside-Core	652
Seaside-Core	654
Seaside-Core	654
Seaside-Core	656
Seaside-Core	658
Seaside-Core	659
Seaside-Core	661
Seaside-Core	662
Seaside-Core	662
Seaside-Core	663
Seaside-Core	664
Seaside-Core	665
Seaside-Core	666
Seaside-Core	666
Seaside-Core	666
Seaside-Core	667
Seaside-Core	667
Seaside-Core	668
Seaside-Core	669
Seaside-Core	670
Seaside-Core	670
Seaside-Core	671
Seaside-Core	672
Seaside-Core	674
Seaside-Core	674
Seaside-Core	676
Seaside-Core	678
Seaside-Core	680
Seaside-Core	681
Seaside-Core	683
Seaside-Core	683
Seaside-Core	684
Seaside-Core	685
Seaside-Core	687
Seaside-Core	692
Seaside-Core	699
Seaside-Core	700
Seaside-Core	701
Seaside-Core	701
Seaside-Core	703
Seaside-Core	706
Seaside-Core	706
Seaside-Core	706
Seaside-Core	709
Seaside-Core	711
Seaside-Core	720
Seaside-Core	722
Seaside-Core	722
Seaside-Core	729
Seaside-Core	730
Seaside-Core	733
Seaside-Core	736
Seaside-Core	736
Seaside-Core	737
Seaside-Core	745
Seaside-Core	747
Seaside-Core	751
Seaside-Core	757
Seaside-Core	757
Seaside-Core	759
Seaside-Core	760
Seaside-Core	765
Seaside-Core	775
Seaside-Core	782
Seaside-Core	783
Seaside-Core	789
Seaside-Core	791
Seaside-Core	792
Seaside-Core	794
Seaside-Core	796
Seaside-Core	796
Seaside-Core	798
Seaside-Core	803
Seaside-Core	803
Seaside-Core	804
Seaside-Core	805
Seaside-Core	807
Seaside-Core	808
Seaside-Core	808
Seaside-Core	812
Seaside-Core	816
Seaside-Core	822
Seaside-Core	823
Seaside-Core	824
Seaside-Core	826
Seaside-Core	832
Seaside-Core	832
Seaside-Core	834
Seaside-Core	834
Seaside-Core	837
Seaside-Core	840
Seaside-Core	841
Seaside-Core	842
Seaside-Core	856
Seaside-Core	856
Seaside-Core	871
Seaside-Core	878
Seaside-Core	879
Seaside-Core	890
Seaside-Core	892
Seaside-Core	894
Seaside-Core	895
Seaside-Core	900
Seaside-Core	902
Seaside-Core	902
Seaside-Core	908
Seaside-Core	909
Seaside-Core	911
Seaside-Core	912
Seaside-Core	912
Seaside-Core	927
Seaside-Core	927
Seaside-Core	928
Seaside-Core	930
Seaside-Core	933
Seaside-Core	934
Seaside-Core	936
Seaside-Core	937
Seaside-Core	938
Seaside-Core	940
Seaside-Core	941
Seaside-Core	944
Seaside-Core	959
Seaside-Core	963
Seaside-Core	965
Seaside-Core	965
Seaside-Core	967
Seaside-Core	975
Seaside-Core	978
Seaside-Core	980
Seaside-Core	984
Seaside-Core	990
Seaside-Core	999
Seaside-Core	1013
Seaside-Core	1025
Seaside-Core	1027
Seaside-Core	1064
Seaside-Core	1086
Seaside-Core	1113
Seaside-Core	1123
Seaside-Core	1145
Seaside-Core	1156
Seaside-Core	1169
Seaside-Core	1180
Seaside-Core	1180
Seaside-Core	1189
Seaside-Core	1192
Seaside-Core	1194
Seaside-Core	1196
Seaside-Core	1206
Seaside-Core	1208
Seaside-Core	1213
Seaside-Core	1216
Seaside-Core	1217
Seaside-Core	1222
Seaside-Core	1232
Seaside-Core	1235
Seaside-Core	1240
Seaside-Core	1244
Seaside-Core	1273
Seaside-Core	1278
Seaside-Core	1294
Seaside-Core	1297
Seaside-Core	1305
Seaside-Core	1311
Seaside-Core	1317
Seaside-Core	1323
Seaside-Core	1328
Seaside-Core	1338
Seaside-Core	1348
Seaside-Core	1360
Seaside-Core	1371
Seaside-Core	1377
Seaside-Core	1383
Seaside-Core	1389
Seaside-Core	1416
Seaside-Core	1432
Seaside-Core	1454
Seaside-Core	1463
Seaside-Core	1476
Seaside-Core	1500
Seaside-Core	1502
Seaside-Core	1503
Seaside-Core	1522
Seaside-Core	1534
Seaside-Core	1548
Seaside-Core	1555
Seaside-Core	1561
Seaside-Core	1581
Seaside-Core	1585
Seaside-Core	1594
Seaside-Core	1613
Seaside-Core	1619
Seaside-Core	1629
Seaside-Core	1630
Seaside-Core	1638
Seaside-Core	1645
Seaside-Core	1646
Seaside-Core	1660
Seaside-Core	1661
Seaside-Core	1666
Seaside-Core	1668
Seaside-Core	1674
Seaside-Core	1721
Seaside-Core	1730
Seaside-Core	1736
Seaside-Core	1742
Seaside-Core	1794
Seaside-Core	1795
Seaside-Core	1802
Seaside-Core	1805
Seaside-Core	1826
Seaside-Core	1838
Seaside-Core	1840
Seaside-Core	1851
Seaside-Core	1913
Seaside-Core	1929
Seaside-Core	1933
Seaside-Core	1941
Seaside-Core	1966
Seaside-Core	1970
Seaside-Core	1972
Seaside-Core	2012
Seaside-Core	2036
Seaside-Core	2089
Seaside-Core	2091
Seaside-Core	2151
Seaside-Core	2163
Seaside-Core	2205
Seaside-Core	2217
Seaside-Core	2222
Seaside-Core	2228
Seaside-Core	2233
Seaside-Core	2348
Seaside-Core	2423
Seaside-Core	2462
Seaside-Core	2488
Seaside-Core	2492
Seaside-Core	2492
Seaside-Core	2528
Seaside-Core	2545
Seaside-Core	2562
Seaside-Core	2576
Seaside-Core	2589
Seaside-Core	2589
Seaside-Core	2647
Seaside-Core	2729
Seaside-Core	2759
Seaside-Core	2859
Seaside-Core	2951
Seaside-Core	3019
Seaside-Core	3054
Seaside-Core	3121
Seaside-Core	3143
Seaside-Core	3161
Seaside-Core	3270
Seaside-Core	3293
Seaside-Core	3299
Seaside-Core	3372
Seaside-Core	3425
Seaside-Core	3647
Seaside-Core	3719
Seaside-Core	3720
Seaside-Core	3775
Seaside-Core	3890
Seaside-Core	4082
Seaside-Core	4083
Seaside-Core	4084
Seaside-Core	4158
Seaside-Core	4211
Seaside-Core	4219
Seaside-Core	4247
Seaside-Core	4558
Seaside-Core	4888
Seaside-Core	4936
Seaside-Core	5130
Seaside-Core	5177
Seaside-Core	5374
Seaside-Core	5449
Seaside-Core	5482
Seaside-Core	5569
Seaside-Core	5962
Seaside-Core	6412
Seaside-Core	6674
Seaside-Core	6707
Seaside-Core	8887
Seaside-Core	9366
Seaside-Core	9427
Seaside-Core	9467
Seaside-Core	10089
Seaside-Core	10827
Seaside-Core	11272
Seaside-Core	12312
Seaside-Core	12782
Seaside-Core	12959
Seaside-Core	14428
Seaside-Core	15589
Seaside-Core	15732
Seaside-Core	15963
Seaside-Core	16185
Seaside-Core	16236
Seaside-Core	16358
Seaside-Core	16867
Seaside-Core	17556
Seaside-Core	26963
Seaside-Core	28554
Seaside-Core	34409
DicThesaurusRex 493
DicThesaurusRex 495
DicThesaurusRex 502
DicThesaurusRex 508
DicThesaurusRex 516
DicThesaurusRex 520
DicThesaurusRex 524
DicThesaurusRex 526
DicThesaurusRex 529
DicThesaurusRex 533
DicThesaurusRex 533
DicThesaurusRex 537
DicThesaurusRex 547
DicThesaurusRex 547
DicThesaurusRex 549
DicThesaurusRex 553
DicThesaurusRex 554
DicThesaurusRex 557
DicThesaurusRex 557
DicThesaurusRex 560
DicThesaurusRex 564
DicThesaurusRex 570
DicThesaurusRex 571
DicThesaurusRex 576
DicThesaurusRex 581
DicThesaurusRex 585
DicThesaurusRex 597
DicThesaurusRex 611
DicThesaurusRex 613
DicThesaurusRex 615
DicThesaurusRex 640
DicThesaurusRex 653
DicThesaurusRex 656
DicThesaurusRex 658
DicThesaurusRex 684
DicThesaurusRex 780
DicThesaurusRex 796
DicThesaurusRex 808
DicThesaurusRex 847
DicThesaurusRex 856
DicThesaurusRex 857
DicThesaurusRex 858
DicThesaurusRex 896
DicThesaurusRex 901
DicThesaurusRex 908
DicThesaurusRex 914
DicThesaurusRex 922
DicThesaurusRex 928
DicThesaurusRex 943
DicThesaurusRex 945
DicThesaurusRex 1596
DicThesaurusRex 2193
DicThesaurusRex 2542
DicThesaurusRex 2986
DicThesaurusRex 3305
DicThesaurusRex 3926
DicThesaurusRex 4577
DicThesaurusRex 5155
DicThesaurusRex 5527
DicThesaurusRex 7239
DicThesaurusRex 7242
DicThesaurusRex 9417
DicThesaurusRex 10870
SystemBrowser	651
SystemBrowser	666
SystemBrowser	676
SystemBrowser	682
SystemBrowser	683
SystemBrowser	691
SystemBrowser	699
SystemBrowser	701
SystemBrowser	707
SystemBrowser	709
SystemBrowser	716
SystemBrowser	721
SystemBrowser	722
SystemBrowser	732
SystemBrowser	738
SystemBrowser	741
SystemBrowser	745
SystemBrowser	747
SystemBrowser	760
SystemBrowser	762
SystemBrowser	762
SystemBrowser	763
SystemBrowser	765
SystemBrowser	766
SystemBrowser	773
SystemBrowser	773
SystemBrowser	775
SystemBrowser	778
SystemBrowser	780
SystemBrowser	783
SystemBrowser	784
SystemBrowser	786
SystemBrowser	788
SystemBrowser	788
SystemBrowser	790
SystemBrowser	799
SystemBrowser	800
SystemBrowser	804
SystemBrowser	805
SystemBrowser	809
SystemBrowser	811
SystemBrowser	816
SystemBrowser	821
SystemBrowser	821
SystemBrowser	823
SystemBrowser	827
SystemBrowser	829
SystemBrowser	830
SystemBrowser	830
SystemBrowser	832
SystemBrowser	832
SystemBrowser	840
SystemBrowser	840
SystemBrowser	840
SystemBrowser	841
SystemBrowser	846
SystemBrowser	852
SystemBrowser	853
SystemBrowser	855
SystemBrowser	855
SystemBrowser	857
SystemBrowser	858
SystemBrowser	867
SystemBrowser	869
SystemBrowser	870
SystemBrowser	871
SystemBrowser	874
SystemBrowser	875
SystemBrowser	876
SystemBrowser	877
SystemBrowser	879
SystemBrowser	880
SystemBrowser	885
SystemBrowser	888
SystemBrowser	888
SystemBrowser	890
SystemBrowser	890
SystemBrowser	891
SystemBrowser	895
SystemBrowser	900
SystemBrowser	903
SystemBrowser	907
SystemBrowser	911
SystemBrowser	911
SystemBrowser	913
SystemBrowser	920
SystemBrowser	930
SystemBrowser	932
SystemBrowser	941
SystemBrowser	941
SystemBrowser	942
SystemBrowser	950
SystemBrowser	952
SystemBrowser	954
SystemBrowser	965
SystemBrowser	966
SystemBrowser	967
SystemBrowser	969
SystemBrowser	978
SystemBrowser	1008
SystemBrowser	1009
SystemBrowser	1011
SystemBrowser	1019
SystemBrowser	1019
SystemBrowser	1028
SystemBrowser	1033
SystemBrowser	1040
SystemBrowser	1078
SystemBrowser	1094
SystemBrowser	1110
SystemBrowser	1159
SystemBrowser	1185
SystemBrowser	1215
SystemBrowser	1305
SystemBrowser	1334
SystemBrowser	1392
SystemBrowser	1425
SystemBrowser	1474
SystemBrowser	1563
SystemBrowser	1606
SystemBrowser	1960
SystemBrowser	2253
SystemBrowser	2353
SystemBrowser	2446
SystemBrowser	2603
SystemBrowser	2710
SystemBrowser	2770
SystemBrowser	4818
SystemBrowser	5029
SystemBrowser	5628
SystemBrowser	5646
SystemBrowser	5680
SystemBrowser	5885
SystemBrowser	5886
SystemBrowser	5895
SystemBrowser	5935
SystemBrowser	5963
SystemBrowser	6503
SystemBrowser	6504
SystemBrowser	6604
SystemBrowser	6610
SystemBrowser	6884
SystemBrowser	6902
SystemBrowser	6906
SystemBrowser	7014
SystemBrowser	7051
SystemBrowser	7215
SystemBrowser	7336
SystemBrowser	7434
SystemBrowser	8060
SystemBrowser	8863
SystemBrowser	9250
SystemBrowser	9843
SystemBrowser	10273
SystemBrowser	10280
SystemBrowser	10420
SystemBrowser	13448
SystemBrowser	21009
